use_case ,type ,method ,other_minutes_sold,scenario ,missions,minutes ,cost_usd_S1,cost_usd_S2,cost_usd_S3,cost_usd_S4,cost_usd_S5,cost_usd_S6
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,Yes,High,3,6141.0,155367.30000000002,202653.00000000003,202653.00000000003,263448.9,249938.7,283714.2
Mission Operations,ADD,SR,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,SR,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,SR,No,High,20,173440.0,11256256.0,12591744.000000002,12591744.000000002,12591744.000000002,12019392.000000002,12973312.000000002
Terrestrial & Aerial,ADD,SR,Yes,High,20,173440.0,4388032.0,5723520.0,5723520.0,7440576.000000001,7059008.000000001,8012928.000000001
Human Space Flight,FDDN,DTE,No,High,6,347580.0,39113177.400000006,72032479.2,72032479.2,72032479.2,72032479.2,72032479.2
Human Space Flight,FDDN,DTE,Yes,High,6,347580.0,8832007.800000003,8832007.800000003,8946709.2,9061410.600000001,9176112.0,9176112.0
Near Earth Robotic - LEO Science,FDDN,DTE,No,High,52,504270.0,56745503.1,104504914.80000001,104504914.80000001,104504914.80000001,104504914.80000001,104504914.80000001
Near Earth Robotic - LEO Science,FDDN,DTE,Yes,High,52,504270.0,12813500.700000001,12813500.700000001,12979909.8,13146318.9,13312728.000000002,13312728.000000002
Near Earth Robotic - GEO and Near Earth,FDDN,DTE,No,High,17,262352.5,29522526.825000003,54369932.1,54369932.1,54369932.1,54369932.1,54369932.1
Near Earth Robotic - GEO and Near Earth,FDDN,DTE,Yes,High,17,262352.5,6666377.025,6666377.025,6752953.350000001,6839529.675000001,6926106.000000001,6926106.000000001
Deep Space Robotic,FDDN,DTE,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,FDDN,DTE,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,FDDN,DTE,No,High,2,22562.0,2538901.8600000003,4675748.88,4675748.88,4675748.88,4675748.88,4675748.88
Near Earth Robotic - Low Latency & Complex Needs,FDDN,DTE,Yes,High,2,22562.0,573300.42,573300.42,580745.88,588191.3400000001,595636.8,595636.8
Mission Operations,FDDN,DTE,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,DTE,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,DTE,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,DTE,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,FDDN,SR,No,High,16,1424352.0,92440444.80000001,103407955.2,103407955.2,103407955.2,98707593.60000001,106541529.60000001
Human Space Flight,FDDN,SR,Yes,High,16,1424352.0,36036105.6,47003616.00000001,47003616.00000001,61104700.800000004,57971126.400000006,65805062.400000006
Near Earth Robotic - LEO Science,FDDN,SR,No,High,34,2579410.0,167403709.0,187265166.00000003,187265166.00000003,187265166.00000003,178753113.0,192939868.00000003
Near Earth Robotic - LEO Science,FDDN,SR,Yes,High,34,2579410.0,65259073.00000001,85120530.0,85120530.0,110656689.00000001,104981987.00000001,119168742.00000001
Near Earth Robotic - GEO and Near Earth,FDDN,SR,No,High,5,272.5,17685.25,19783.5,19783.5,19783.5,18884.25,20383.0
Near Earth Robotic - GEO and Near Earth,FDDN,SR,Yes,High,5,272.5,6894.250000000001,8992.5,8992.5,11690.250000000002,11090.75,12589.500000000002
Deep Space Robotic,FDDN,SR,No,High,1,286.0,18561.4,20763.600000000002,20763.600000000002,20763.600000000002,19819.800000000003,21392.800000000003
Deep Space Robotic,FDDN,SR,Yes,High,1,286.0,7235.8,9438.0,9438.0,12269.400000000001,11640.2,13213.2
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,No,High,2,4094.0,265700.60000000003,297224.4,297224.4,297224.4,283714.2,306231.2
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,Yes,High,2,4094.0,103578.20000000001,135102.0,135102.0,175632.6,166625.80000000002,189142.80000000002
Mission Operations,FDDN,SR,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,SR,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,SR,No,High,18,156096.0,10130630.4,11332569.600000001,11332569.600000001,11332569.600000001,10817452.8,11675980.8
Terrestrial & Aerial,FDDN,SR,Yes,High,18,156096.0,3949228.8000000003,5151168.0,5151168.0,6696518.4,6353107.2,7211635.2
