use_case ,type ,method ,other_minutes_sold,scenario ,missions,minutes ,cost_usd_S1,cost_usd_S2,cost_usd_S3,cost_usd_S4,cost_usd_S5,cost_usd_S6
Near Earth Robotic - LEO Science,FDDN,SR,No,Current,29,2200085.0,142785516.5,159726171.0,159726171.0,159726171.0,152465890.5,164566358.0
Near Earth Robotic - LEO Science,FDDN,SR,Yes,Current,29,2200085.0,77442992.0,94383646.50000001,94383646.50000001,94383646.50000001,89543459.5,101643927.00000001
Near Earth Robotic - GEO and Near Earth,FDDN,SR,No,Current,4,218.0,14148.2,15826.800000000001,15826.800000000001,15826.800000000001,15107.400000000001,16306.400000000001
Near Earth Robotic - GEO and Near Earth,FDDN,SR,Yes,Current,4,218.0,7673.6,9352.2,9352.2,9352.2,8872.6,10071.6
Deep Space Robotic,FDDN,SR,No,Current,1,286.0,18561.4,20763.600000000002,20763.600000000002,20763.600000000002,19819.800000000003,21392.800000000003
Deep Space Robotic,FDDN,SR,Yes,Current,1,286.0,10067.2,12269.400000000001,12269.400000000001,12269.400000000001,11640.2,13213.2
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,No,Current,2,4094.0,265700.60000000003,297224.4,297224.4,297224.4,283714.2,306231.2
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,Yes,Current,2,4094.0,144108.80000000002,175632.6,175632.6,175632.6,166625.80000000002,189142.80000000002
Mission Operations,FDDN,SR,No,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,SR,Yes,Current,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,SR,No,Current,15,130080.0,8442192.0,9443808.0,9443808.0,9443808.0,9014544.0,9729984.0
Terrestrial & Aerial,FDDN,SR,Yes,Current,15,130080.0,4578816.0,5580432.0,5580432.0,5580432.0,5294256.0,6009696.000000001
Human Space Flight,ADD,DTE,No,Low,2,115860.0,24010826.400000002,24010826.400000002,24010826.400000002,24010826.400000002,24010826.400000002,24010826.400000002
Human Space Flight,ADD,DTE,Yes,Low,2,115860.0,2944002.6,2944002.6,2982236.4000000004,3020470.2,3058704.0000000005,3109682.4000000004
Near Earth Robotic - LEO Science,ADD,DTE,No,Low,18,174555.0,36174778.2,36174778.2,36174778.2,36174778.2,36174778.2,36174778.2
Near Earth Robotic - LEO Science,ADD,DTE,Yes,Low,18,174555.0,4435442.550000001,4435442.550000001,4493045.7,4550648.850000001,4608252.0,4685056.2
Near Earth Robotic - GEO and Near Earth,ADD,DTE,No,Low,6,92595.0,19189387.8,19189387.8,19189387.8,19189387.8,19189387.8,19189387.8
Near Earth Robotic - GEO and Near Earth,ADD,DTE,Yes,Low,6,92595.0,2352838.95,2352838.95,2383395.3000000003,2413951.6500000004,2444508.0,2485249.8000000003
Deep Space Robotic,ADD,DTE,No,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
