"","use_case","type","method","scenario","missions","minutes","scenario_cost","value","combined"
"54","Near Earth Robotic
Low Latency & Complex Needs","FDDN","DTE","Baseline",1,11281,"cost_usd_S1",2337874.44,"DTE Baseline"
"55","Terrestrial & Aerial","FDDN","DTE","Baseline",0,0,"cost_usd_S1",0,"DTE Baseline"
"56","Human Space Flight","FDDN","SR","Baseline",9,801198,"cost_usd_S1",51997750.2,"SR Baseline"
"57","Near Earth Robotic
LEO Science","FDDN","SR","Baseline",18,1365570,"cost_usd_S1",88625493,"SR Baseline"
"58","Near Earth Robotic
GEO and Near Earth","FDDN","SR","Baseline",2,109,"cost_usd_S1",7074.1,"SR Baseline"
"59","Near Earth Robotic
Low Latency & Complex Needs","FDDN","SR","Baseline",1,2047,"cost_usd_S1",132850.3,"SR Baseline"
"60","Terrestrial & Aerial","FDDN","SR","Baseline",9,78048,"cost_usd_S1",5065315.2,"SR Baseline"
"61","Human Space Flight","ADD","DTE","High",7,405510,"cost_usd_S1",45632040.3,"DTE High"
"62","Near Earth Robotic
LEO Science","ADD","DTE","High",58,562455,"cost_usd_S1",63293061.15,"DTE High"
"63","Near Earth Robotic
GEO and Near Earth","ADD","DTE","High",19,293217.5,"cost_usd_S1",32995765.275,"DTE High"
"64","Near Earth Robotic
Low Latency & Complex Needs","ADD","DTE","High",2,22562,"cost_usd_S1",2538901.86,"DTE High"
"65","Terrestrial & Aerial","ADD","DTE","High",0,0,"cost_usd_S1",0,"DTE High"
"66","Human Space Flight","ADD","SR","High",18,1602396,"cost_usd_S1",103995500.4,"SR High"
"67","Near Earth Robotic
LEO Science","ADD","SR","High",38,2882870,"cost_usd_S1",187098263,"SR High"
"68","Near Earth Robotic
GEO and Near Earth","ADD","SR","High",5,272.5,"cost_usd_S1",17685.25,"SR High"
"69","Near Earth Robotic
Low Latency & Complex Needs","ADD","SR","High",3,6141,"cost_usd_S1",398550.9,"SR High"
"70","Terrestrial & Aerial","ADD","SR","High",20,173440,"cost_usd_S1",11256256,"SR High"
"71","Human Space Flight","FDDN","DTE","High",6,347580,"cost_usd_S1",39113177.4,"DTE High"
"72","Near Earth Robotic
LEO Science","FDDN","DTE","High",52,504270,"cost_usd_S1",56745503.1,"DTE High"
"73","Near Earth Robotic
GEO and Near Earth","FDDN","DTE","High",17,262352.5,"cost_usd_S1",29522526.825,"DTE High"
"74","Near Earth Robotic
Low Latency & Complex Needs","FDDN","DTE","High",2,22562,"cost_usd_S1",2538901.86,"DTE High"
"75","Terrestrial & Aerial","FDDN","DTE","High",0,0,"cost_usd_S1",0,"DTE High"
"76","Human Space Flight","FDDN","SR","High",16,1424352,"cost_usd_S1",92440444.8,"SR High"
"77","Near Earth Robotic
LEO Science","FDDN","SR","High",34,2579410,"cost_usd_S1",167403709,"SR High"
"78","Near Earth Robotic
GEO and Near Earth","FDDN","SR","High",5,272.5,"cost_usd_S1",17685.25,"SR High"
"79","Near Earth Robotic
Low Latency & Complex Needs","FDDN","SR","High",2,4094,"cost_usd_S1",265700.6,"SR High"
"80","Terrestrial & Aerial","FDDN","SR","High",18,156096,"cost_usd_S1",10130630.4,"SR High"
